"pmid","author","last_author","doi","publication_date"
"22205789","Lorenzetti MA","Preciado MV","10.1128/JCM.05778-11","2011/12/30 06:00"
"20827771","Lorenzetti MA","Preciado MV","10.1002/jmv.21871","2010/09/10 06:00"
"24666405","Lorenzetti MA","Preciado MV","10.1111/1469-0691.12631","2014/03/21 00:00"
"22590657","Piñero C","Cisterna DM","10.1371/journal.pntd.0001635","2012/03/20 00:00"
"24661865","Torres C","Cisterna DM","10.1111/mec.12728","2014/03/06 00:00"
"23305886","Gantuz M","Preciado MV","10.1016/j.meegid.2012.12.025","2012/12/19 00:00"
"28328987","Gantuz M","Preciado MV","10.1371/journal.pone.0174221","2017/03/05 00:00"
"24418566","Culasso AC","Campos RH","10.1016/j.virol.2013.11.034","2013/08/15 00:00"
"22190012","Matthijnssens J","Van Ranst M","10.1099/vir.0.039255-0","2011/12/23 06:00"
"9223253","Fitch WM","Cox NJ","10.1073/pnas.94.15.7712","1997/07/22 00:01"
"27754468","Olguin Perglione C","Barrandeguy M","10.3390/pathogens5040061","2016/10/05 00:00"
"36423115","Miño SO","Parreño V","10.3390/v14112506","2022/11/08 00:00"
"21937642","Lewis NS","Smith DJ","10.1128/JVI.05319-11","2011/09/23 06:00"
"26520931","Bok M","Parreño V","10.1016/j.vetmic.2015.10.017","2015/08/28 00:00"
"19774688","Lorenzetti MA","Preciado MV","10.1002/jmv.21616","2009/09/24 06:00"
"34960753","Caraballo DA","Cisterna DM","10.3390/v13122484","2021/11/30 00:00"
"29237841","Chauché C","Murcia PR","10.1128/JVI.01875-17","2017/11/29 00:00"
"20069399","Ferreyra L","Nates S","10.1007/s00705-009-0539-x","2009/10/01 00:00"
"21915339","Liu EB","Jones MS","10.1371/journal.pone.0024491","2011/08/11 00:00"
"10555276","Bush RM","Cox NJ","10.1093/oxfordjournals.molbev.a026057","1999/11/11 00:01"
"24386322","Golemba MD","Campos RH","10.1371/journal.pone.0084007","2013/11/11 00:00"
"11504416","Lai AC","Barrandeguy M","10.1007/s007050170106","2001/08/31 10:01"
"25796398","Peralta A","König GA","10.1007/s11262-015-1189-6","2015/03/05 00:00"
"24482291","Traesel CK","Flores EF","10.1007/s11262-014-1040-5","2014/01/12 00:00"
"23624201","Badaracco A","Parreño V","10.1016/j.meegid.2013.04.023","2013/04/18 00:00"
"18446239","Delmas O","Bourhy H","10.1371/journal.pone.0002057","2008/03/17 00:00"
"20419826","Esteban LE","Castello AA","10.1002/jmv.21745","2010/04/27 06:00"
"19382268","Castello AA","Jiang B","10.1002/jmv.21453","2009/04/22 09:00"
"10196339","Lindstrom SE","Nerome K","10.1128/JVI.73.5.4413-4426.1999","1999/04/10 00:01"
"31855537","Tohma K","Parra GI","10.3201/eid2601.190626","2019/12/20 06:00"
"24295740","Pecora A","Wigdorovitz A","10.1016/j.rvsc.2013.11.004","2013/10/30 00:00"
"29707546","Malacari DA","Capozzo AV","10.3389/fvets.2018.00075","2018/03/26 00:00"
"25337915","Degiuseppe JI","Stupka JA","10.1371/journal.pone.0110341","2014/09/19 00:00"
"19153225","Matthijnssens J","Van Ranst M","10.1128/JVI.02246-08","2009/01/21 09:00"
"30856485","Lema C","Gómez RM","10.1016/j.virol.2019.02.012","2019/02/16 00:00"
"11418972","Pontoriero AV","Hay AJ","10.1590/s1020-49892001000400007","2001/11/03 10:01"
"18479961","Piñeiro Y Leone FG","Campos RH","10.1016/j.jcv.2008.01.018","2008/01/09 00:00"
"21611129","Ré VE","Campos RH","10.1371/journal.pone.0019471","2011/03/30 00:00"
"23152367","Legisa D","Santos MJD","10.1099/vir.0.046896-0","2012/11/16 06:00"
"19107963","Castello AA","Gentsch JR","10.1002/jmv.21384","2008/12/25 09:00"
"25762309","Di Lello FA","Ré VE","10.1007/s00705-015-2390-6","2015/02/28 00:00"
"23886503","Kajon AE","Echavarria M","10.1016/j.jcv.2013.06.030","2013/06/11 00:00"
"25822666","González López Ledesma MM","Flichman D","10.1371/journal.pone.0121436","2015/02/17 00:00"
"22769058","Barbini L","Campos R","10.1186/1743-422X-9-131","2012/07/08 00:00"
"28617968","Pérez CL","Tous MI","10.1002/jmv.24876","2017/06/08 00:00"
"27448206","Reeve R","Mahapatra M","10.1371/journal.pone.0159360","2016/07/02 00:00"
"29496429","Rota RP","Glikmann G","10.1016/j.jviromet.2018.02.020","2018/02/21 00:00"
"17475419","König GA","Piccone ME","10.1016/j.vetmic.2007.03.015","2007/03/07 00:00"
"27074336","Brito B","Perez A","10.1016/j.meegid.2016.03.026","2016/03/18 00:00"
"19225714","Mbayed VA","Campos RH","10.1007/s00705-009-0328-6","2009/01/16 00:00"
"24210114","Gismondi MI","Preciado MV","10.1016/j.virol.2013.09.002","2013/09/03 00:00"
"19322714","Rimondi A","Pereda A","10.1080/03079450902737821","2009/03/27 09:00"
"30761909","Marandino A","Pérez R","10.1080/03079457.2019.1583315","2019/06/08 06:00"
"22507639","Culasso AC","Baré P","10.1111/j.1365-2516.2012.02792.x","2012/04/18 06:00"
"36298650","Marandino A","Pérez R","10.3390/v14102095","2022/09/09 00:00"
"12482653","Shaw MW","Subbarao K","10.1006/viro.2002.1719","2003/02/14 04:00"
"22303490","Díaz LA","Contigiani MS","10.1371/journal.pntd.0001489","2011/12/10 00:00"
"24820342","Culasso AC","Campos R","10.1016/j.meegid.2014.05.008","2014/05/01 00:00"
"18420927","Russell CA","Smith DJ","10.1126/science.1154137","2008/04/29 09:00"
"19402767","Pisano MB","Contigiani MS","10.1089/vbz.2008.0156","2009/05/01 09:00"
"17628358","Calderon MG","La Torre J","10.1016/j.vetmic.2007.05.020","2007/05/24 00:00"
"24306325","Delfino CM","Mathet VL","10.1007/s00705-013-1917-y","2013/10/31 00:00"
"25537951","Delfino CM","Mathet VL","10.1007/s11262-014-1159-4","2014/12/12 00:00"
"23675493","Sarute N","Panzera Y","10.1371/journal.pone.0063595","2013/04/04 00:00"
"29657837","Grecco S","Pérez R","10.1093/ve/vey011","2018/04/17 06:00"
"19490967","Calderon MG","La Torre J","10.1016/j.jviromet.2009.03.013","2009/03/04 00:00"
"21858463","Gallo Calderón M","La Torre J","10.1007/s11262-011-0659-8","2011/08/08 00:00"
"22337295","Bolcic F","Quarleri J","10.1002/jmv.23243","2012/02/18 06:00"
"25087877","Di Lello FA","García G","10.1016/j.virusres.2014.07.020","2014/07/17 00:00"
"27154330","Viegas M","Mistchenko AS","10.1016/j.meegid.2016.04.034","2016/04/28 00:00"
"19800842","Cassino L","Quarleri J","10.1016/j.jcv.2009.09.015","2009/09/09 00:00"
"22337294","Cassino L","Quarleri J","10.1002/jmv.23233","2012/02/18 06:00"
"21367634","Ledesma MM","Flichman D","10.1016/j.ijid.2010.12.009","2010/12/15 00:00"
"20129962","Kajon AE","Echavarria M","10.1128/JCM.02289-09","2010/02/05 06:00"
"20090919","Golemba MD","Campos RH","10.1371/journal.pone.0008751","2009/12/23 00:00"
"20336730","Pizzorno A","Arbiza J","10.1002/jmv.21752","2010/03/26 06:00"
"32205180","Romanutti C","Gallo Calderon M","10.1016/j.jviromet.2020.113857","2020/02/17 00:00"
"17283629","Diaz LA","Contigiani M","10.3201/eid1211.060486","2007/02/22 09:00"
"21629729","Diaz LA","Contigiani MS","10.1371/journal.pntd.0001177","2011/03/30 00:00"
"33165867","López GR","Cisterna DM","10.1007/s12560-020-09451-z","2020/11/04 00:00"
"23072283","Blanco Fernández MD","Mbayed VA","10.1111/1469-0691.12034","2012/10/18 06:00"
"26519580","Torres C","Mbayed VA","10.1016/j.scitotenv.2015.10.047","2015/10/01 00:00"
"32725912","Pataccini G","Delfino CM","10.1002/jmv.26366","2020/07/27 00:00"
"29326949","Craig MI","König GA","10.3389/fvets.2017.00212","2017/11/27 00:00"
"19631763","Stupka JA","Parra GI","10.1016/j.meegid.2009.07.002","2009/07/07 00:00"
"23586655","Degiuseppe JI","Parra GI","10.1111/1469-0691.12216","2013/03/06 00:00"
"21056065","Aguirre S","Mattion N","10.1016/j.virusres.2010.10.030","2010/10/21 00:00"
"18632129","Pereda AJ","Perez DR","10.1016/j.virol.2008.06.010","2008/06/02 00:00"
"23028605","Culasso AC","Barbini L","10.1371/journal.pone.0044757","2012/08/06 00:00"
"25278519","Sijmons S","Van Ranst M","10.1128/genomeA.00797-14","2014/10/04 06:00"
"22358354","Ghietto LM","Adamo MP","10.1016/S1413-8670(12)70272-6","2011/07/19 00:00"
"21503903","Bolcic F","Quarleri J","10.1002/jmv.22068","2011/04/20 06:00"
"21829605","Sovero M","Halsey ES","10.1371/journal.pone.0022111","2011/06/15 00:00"
"26177382","González Altamiranda E","Verna A","10.1371/journal.pone.0132212","2015/06/12 00:00"
"22608840","Valinotto LE","Mistchenko AS","10.1016/j.jcv.2012.04.005","2012/03/23 00:00"
"23408635","Gyuranecz M","Erdélyi K","10.1128/JVI.03183-12","2013/02/15 06:00"
"24875137","Mandile MG","Castello AA","10.1016/j.jcv.2014.04.022","2014/03/27 00:00"
"20931249","Farías A","Contigiani MS","10.1007/s00705-010-0828-4","2010/09/27 00:00"
"25213209","Martínez Wassaf MG","Ré VE","10.1016/j.jcv.2014.08.016","2014/08/12 00:00"
"35966706","Rimondi A","Perez DR","10.3389/fmicb.2022.953738","2022/06/21 00:00"
"22709552","Xu K","Perez DR","10.1016/j.virusres.2012.06.010","2012/06/06 00:00"
"19794035","Flichman D","Campos R","10.1128/JCM.01337-09","2009/10/02 06:00"
"23871776","Barbini L","Campos R","10.1016/j.meegid.2013.07.007","2013/07/02 00:00"
"22445262","Delfino CM","Biglione MM","10.1016/j.jcv.2012.02.023","2012/02/17 00:00"
"23025694","Goenaga S","Levis S","10.1089/vbz.2011.0730","2012/10/03 06:00"
"22410133","Stupka JA","Parra GI","10.1016/j.jcv.2012.02.011","2012/02/09 00:00"
"22877519","Badaracco A","Parreño V","10.1016/j.vetmic.2012.07.035","2012/07/16 00:00"
"22959604","Miño S","Parreño V","10.1016/j.vetmic.2012.07.033","2012/07/10 00:00"
"21354224","Calderón MG","La Torre J","10.1016/j.virusres.2011.02.015","2011/02/17 00:00"
"25453332","Marcone DN","Echavarría M","10.1016/j.jcv.2014.10.006","2014/09/09 00:00"
"19896684","Alvarez P","Mattion N","10.1016/j.virol.2009.10.009","2009/09/29 00:00"
"21849519","Cappuccio JA","Pereda A","10.1099/vir.0.036590-0","2011/08/19 06:00"
"21976652","Rimondi A","Pereda A","10.1128/JVI.05946-11","2011/10/07 06:00"
"21703365","Blanco Fernández MD","Mbayed VA","10.1016/j.meegid.2011.06.005","2011/06/08 00:00"
"25118428","Goenaga S","Levis SM","10.1603/me13172","2014/08/15 06:00"
"22944218","Fernández MD","Mbayed VA","10.1016/j.scitotenv.2012.08.033","2012/08/05 00:00"
"24026673","Trinks J","Oubiña JR","10.1099/vir.0.053595-0","2013/09/13 06:00"
"22716217","Maidana SS","Romera SA","10.1186/1746-6148-8-83","2012/06/07 00:00"
"23646177","Velez Rueda AJ","Viegas M","10.1371/journal.pone.0063070","2013/03/27 00:00"
"26780643","Goya S","Viegas M","10.1016/j.meegid.2016.01.002","2015/12/18 00:00"
"25667323","Marandino A","Pérez R","10.1099/vir.0.000077","2015/01/31 00:00"
"22871332","González Altamiranda EA","Odeón AC","10.1016/j.anireprosci.2012.06.022","2012/06/26 00:00"
"21795113","Munné MS","González JE","10.1016/j.jcv.2011.06.015","2011/05/29 00:00"
"25979610","Miño S","Parreño V","10.1016/j.jviromet.2015.05.002","2015/04/01 00:00"
"24332411","Yanez LA","Ré VE","10.1016/j.jcv.2013.11.005","2013/10/17 00:00"
"25343372","Tittarelli E","Barrero PR","10.1371/journal.pone.0111017","2014/09/19 00:00"
"30895523","Farías AA","Nates SV","10.1007/s12560-019-09379-z","2019/03/13 00:00"
"21047959","Barrero PR","Mistchenko AS","10.1128/JVI.00936-10","2010/11/05 06:00"
"21668680","Pereda A","Perez DR","10.1111/j.1750-2659.2011.00246.x","2011/06/15 06:00"
"20113566","Pereda A","Perfumo CJ","10.3201/eid1602.091230","2010/02/02 06:00"
"20834106","Valinotto LE","Mistchenko AS","10.3851/IMP1635","2010/09/14 06:00"
"20810843","Sovero M","Kochel T","10.4269/ajtmh.2010.09-0757","2010/09/03 06:00"
"34153730","Degiuseppe JI","Stupka JA","10.1016/j.jiph.2021.05.016","2021/02/24 00:00"
"29730762","Samarfard S","Dietzgen RG","10.1007/s11262-018-1563-2","2018/04/27 00:00"
"25066884","Gallego F","Ré V","10.1016/j.jcv.2014.06.030","2014/06/09 00:00"
"24119298","Garcia J","Halsey ES","10.1186/1743-422X-10-305","2013/07/31 00:00"
"30570771","Torres MC","Barbini L","10.1002/jmv.25383","2018/12/14 00:00"
"26004251","Bejerman N","Dietzgen RG","10.1016/j.virol.2015.05.001","2015/05/01 00:00"
"27163636","Pérez PS","Flichman DM","10.1002/mc.22500","2016/04/03 00:00"
"25286177","Linder JE","Miller EK","10.1016/j.jviromet.2014.09.020","2014/09/17 00:00"
"33675515","Lizasoain A","Colina R","10.1007/s12560-021-09468-y","2021/02/20 00:00"
"24742949","Louge Uriarte EL","Parreño V","10.1016/j.vetmic.2014.03.013","2014/03/08 00:00"
"25747109","Pujato SA","Quiberoni Adel L","10.1016/j.ijfoodmicro.2015.02.016","2015/02/05 00:00"
